unit,n,wins,unit_name,n_images,image_path,image_confidence,image_distance_ft,win_rate,shrunk_rate,base_rate
114_Stair_406978870_n739265050,10,1,Central Av (Stair),11,/share/ju/cyclomedia/raw/brooklyn_2025_1k/W0CRD/W0CRDB4Y/faces/B.jpg,0.599,20.0,0.1,0.2778,0.5
186_Stair_406724912_n738901667,10,1,Van Siclen Av (Stair),9,/share/ju/cyclomedia/raw/brooklyn_2025_1k/W0EH4/W0EH4X5W/faces/R.jpg,0.614,26.0,0.1,0.2778,0.5
83_Stair_406934785_n738525673,10,1,Woodhaven Blvd (Stair),13,/share/ju/cyclomedia/raw/queens_2025_1k/W0EBI/W0EBIKLO/faces/R.jpg,0.6,15.0,0.1,0.2778,0.5
371_Elevator_408206647_n738909463,10,1,Hunts Point Av (Elevator),6,/share/ju/cyclomedia/raw/bronx_2025_1k/W0E96/W0E9684F/faces/R.jpg,0.303,48.0,0.1,0.2778,0.5
295_Elevator_408787791_n739046367,10,1,231 St (Elevator),13,/share/ju/cyclomedia/raw/bronx_2025_1k/W0D2W/W0D2WSC1/faces/L.jpg,0.603,22.0,0.1,0.2778,0.5
100_Stair_407072658_n739543323,10,1,Hewes St (Stair),8,/share/ju/cyclomedia/raw/brooklyn_2025_1k/W0E8O/W0E8OGPV/faces/F.jpg,0.617,17.0,0.1,0.2778,0.5
392_Elevator_408044243_n739372301,10,1,125 St (Elevator),11,/share/ju/cyclomedia/raw/manhattan_2025_1k/W0D28/W0D2872U/faces/F.jpg,0.528,38.0,0.1,0.2778,0.5
316_EasementStreet_407615236_n739844507,10,1,50 St (Easement - Street),9,/share/ju/cyclomedia/raw/manhattan_2025_1k/W0ECP/W0ECPMNP/faces/B.jpg,0.577,28.0,0.1,0.2778,0.5
428_Stair_408372796_n738875735,10,1,174 St (Stair),11,/share/ju/cyclomedia/raw/bronx_2025_1k/W0E96/W0E96CWH/faces/B.jpg,0.601,15.0,0.1,0.2778,0.5
14_Stair_407412470_n739896749,10,1,23 St (Stair),10,/share/ju/cyclomedia/raw/manhattan_2025_1k/W0D5I/W0D5IP80/faces/B.jpg,0.465,45.0,0.1,0.2778,0.5
106_EasementStreet_407093780_n740082969,14,2,Fulton St (Easement - Street),8,/share/ju/cyclomedia/raw/manhattan_2025_1k/W0EM2/W0EM2N8F/faces/B.jpg,0.632,19.0,0.1429,0.2727,0.5
96_Stair_406929350_n739282470,11,1,Kosciuszko St (Stair),12,/share/ju/cyclomedia/raw/brooklyn_2025_1k/W0E5S/W0E5SF4G/faces/L.jpg,0.635,27.0,0.0909,0.2632,0.5
55_Stair_405776970_n739604380,11,1,Brighton Beach (Stair),11,/share/ju/cyclomedia/raw/brooklyn_2025_1k/W0EES/W0EES7AJ/faces/B.jpg,0.61,27.0,0.0909,0.2632,0.5
