layer,model,boroct2020,n_images,mean_score,comparisons,median_income
census_tract,gemma-4-12b,4015801,41,-0.061,52,98387.0
census_tract,gemma-4-12b,4015802,37,0.2568,43,105149.0
census_tract,gemma-4-12b,4015900,19,0.0526,22,71615.0
census_tract,gemma-4-12b,4016100,15,0.0,15,92042.0
census_tract,gemma-4-12b,4016300,31,-0.2258,41,35237.0
census_tract,gemma-4-12b,4016400,21,0.1905,26,80568.0
census_tract,gemma-4-12b,4016600,29,-0.1609,37,78108.0
census_tract,gemma-4-12b,4016800,33,0.3788,43,108173.0
census_tract,gemma-4-12b,4016900,21,0.8571,24,89679.0
census_tract,gemma-4-12b,4017000,30,0.1667,40,108229.0
census_tract,gemma-4-12b,4017101,31,-0.4677,40,
census_tract,gemma-4-12b,4017102,32,0.1042,51,184083.0
census_tract,gemma-4-12b,4017200,35,-0.1286,54,74760.0
census_tract,gemma-4-12b,4017400,26,0.5385,36,121759.0
census_tract,gemma-4-12b,4017600,30,0.2167,36,83906.0
census_tract,gemma-4-12b,4017800,24,0.0,29,90096.0
census_tract,gemma-4-12b,4017901,16,-0.0938,24,81319.0
census_tract,gemma-4-12b,4017902,67,-0.2687,93,
census_tract,gemma-4-12b,4018000,23,0.0362,31,80147.0
census_tract,gemma-4-12b,4018101,8,0.4583,11,78864.0
census_tract,gemma-4-12b,4018102,14,0.4524,23,83750.0
census_tract,gemma-4-12b,4018200,51,-0.1111,63,93043.0
census_tract,gemma-4-12b,4018300,34,0.2402,46,71891.0
census_tract,gemma-4-12b,4018401,35,0.0,42,57679.0
census_tract,gemma-4-12b,4018402,25,-0.0667,41,89766.0
census_tract,gemma-4-12b,4018501,15,0.5,24,88027.0
census_tract,gemma-4-12b,4018502,7,0.9286,9,112260.0
census_tract,gemma-4-12b,4018600,28,-0.3333,38,94840.0
census_tract,gemma-4-12b,4018700,71,-0.4812,88,89479.0
census_tract,gemma-4-12b,4018800,29,-0.408,37,84688.0
census_tract,gemma-4-12b,4018900,33,-0.3636,38,93333.0
census_tract,gemma-4-12b,4019000,24,0.25,32,87051.0
census_tract,gemma-4-12b,4019200,38,-0.4605,49,93403.0
census_tract,gemma-4-12b,4019400,65,-0.3538,85,100938.0
census_tract,gemma-4-12b,4019600,21,0.7,32,72000.0
census_tract,gemma-4-12b,4019800,35,-0.219,49,68828.0
census_tract,gemma-4-12b,4019901,59,-0.404,81,
census_tract,gemma-4-12b,4019902,91,-0.6355,120,
census_tract,gemma-4-12b,4019903,46,-1.0145,64,
